id,url,parent_id, Status Code, Status, Indexability, Indexability Status, Title 1, Word Count, Hash, Response Time, Last Modified, Redirect URL, Redirect Type
oc03,/about/infooc/news,,200, OK, Indexable,,"Orange County,  California - News Room ",451, 48da1ace637e7bc655e77ebc4a16c6bf,1.713,,, 
oc04,/visitors/bureau,,200, OK, Indexable,,"Orange County,  California - Visitor Bureau by City ",269, 671f9354675ac19d32877f30ff41d956,1.437,,, 
oc05,/about/infooc/links/oc/general,,200, OK, Indexable,,"Orange County,  California - General Information ",278, 90ca778e7fc61dad960cfa2091b7b7b6,1.411,,, 
oc06,/gov,,200, OK, Indexable,,"Orange County,  California - Departments ",896, 300c29c816ae1809a10e58fc8b2497e2,1.378,,, 
oc07,/residents,,200, OK, Indexable,,"Orange County,  California - Residents ",861, 3c1811fed23f49f91e6a163bfea04fb3,1.379,,, 
oc08,/about/infooc/links/oc/coc,,200, OK, Indexable,,"Orange County,  California - Chambers of Commerce ",396, 9a6de1cfbf4f228c87a58aaf754247c4,1.391,,, 
oc09,/visitors,,200, OK, Indexable,,"Orange County,  California - Visitors ",333, 62c0aa9e881eca1e98fd965afac402f,1.591,,, 
oc10,/contact,,200, OK, Indexable,,"Orange County,  California - Contact Us ",267, ff10201214f15234ef489a3224509d96,1.094,,, 
oc11,/contact/accessibility,,200, OK, Indexable,,"Orange County,  California - Accessibility ",578, 6a748d9f8842cadf4827ba72c523d9c1,1.199,,, 
oc12,/about/infooc/facts,,200, OK, Indexable,,"Orange County,  California - Facts & Figures ",392, ac9382c2ee1b5fc1c01c2b775efb7597,1.213,,, 
oc13,/about/infooc/links/oc/agencies,,200, OK, Indexable,,"Orange County,  California - Related Government Agencies ",284, bc457746f8cf26e3c00aafcfa960b5c0,1.063,,, 
oc14,/howdoi,,200, OK, Indexable,,"Orange County,  California - How Do I ",229, 4f08b50a0f5033fe80f3968bdff38ef,0.708,,, 
oc15,/about/infooc/employees,,200, OK, Indexable,,"Orange County,  California - Employee Compensation & Employment Contracts ",412, 71b6621b178e99e914c8ccef91bc3f77,1.476,,, 
oc16,/services,,200, OK, Indexable,,"Orange County,  California - Services ",595, 97ef5e9bd1829ca53b214b7eaa96f589,1.137,,, 
oc17,/about/infooc/links/oc/colleges,,200, OK, Indexable,,"Orange County,  California - Colleges & Universities ",327, d057d6189189b306c762c2a31f7a19c3,0.883,,, 
oc18,/about,,200, OK, Indexable,,"Orange County,  California - About the County ",439, b462af20c3b4958a20b4574eb3e71c64,0.914,,, 
oc19,/contact/sitemap,,200, OK, Indexable,,"Orange County,  California - Site Map ",219, a19e502110b523fce12c1b869318837d,1.416,,, 
oc20,/contact/disclaimer,,200, OK, Indexable,,"Orange County,  California - Disclaimer ",667, 925bb114356c908f9da89fd04980e074,0.986,,, 
oc21,/business,,200, OK, Indexable,,"Orange County,  California - Business ",469, 9814b1c4143a7fdfbda789d75aca424f,1.392,,, 
oc22,/contact/use,,200, OK, Indexable,,"Orange County,  California - Acceptable Use ",807, 6e78b0714a9d8fe0844eabbb87ab7cd8,1.514,,, 
oc23,/about/infooc/links/oc/occities,,200, OK, Indexable,,"Orange County,  California - Orange County Cities ",353, 36b70f33e5ddd6de3e066a5a050819bc,1.659,,, 
oc24,/business/permits/business,,200, OK, Indexable,,"Orange County,  California - Apply for a Business License ",420, f1f60b50914836719d6643ba60f0306a,1.387,,, 
oc25,/news/2020,,200, OK, Indexable,,"Orange County,  California - 2020 ",2454, 983c300ecd4496a99a85e97fd0d87d7d,1.16,,, 
oc26,/about/infooc,,200, OK, Indexable,,"Orange County,  California - Info OC ",407, 4d4674ce5e81ae57390fc36ae7df5b4d,1.686,,, 
oc27,/news/2019,,200, OK, Indexable,,"Orange County,  California - 2019 ",7140, 9e440efa65b5f0140f5edd5fb0b2d07f,1.889,,, 
oc28,/news/2018,,200, OK, Indexable,,"Orange County,  California - 2018 ",7439, c9bd72c0f7d3fb4f4b0e3de65adbbb9f,1.931,,, 
oc29,/news/2017,,200, OK, Indexable,,"Orange County,  California - 2017 ",10169, de9889440f0d899a65d7b241116acb79,2.205,,, 
oc30,/news/2013,,200, OK, Indexable,,"Orange County,  California - 2013 ",3396, f2f94df66e918e7720b5018e17e09890,1.494,,, 
oc31,/news/2014,,200, OK, Indexable,,"Orange County,  California - 2014 ",4169, f616733ffa64bb3dc5f90a55640648f6,1.626,,, 
oc32,/about/infooc/news/ctyconnect/archives,,200, OK, Indexable,,"Orange County,  California - Newsletter Archives ",1247, e922f3dd6c539f2f1be4d0d2f3c2b974,3.524,,, 
oc33,/about/infooc/news/social_media_hub,,200, OK, Indexable,,,0, a762d4176cc3ba153574040e94dd0d1,0.224,,, 
oc34,/about/infooc/news/press,,200, OK, Indexable,,"Orange County,  California - Press Releases ",2650, dd421ca29c555683699536c7b8870206,2.035,,, 
oc35,/about/infooc/news/press/1997,,200, OK, Indexable,,"Orange County,  California - 1997 ",798, 7286c455b917ed2d7178a919350323f7,1.627,,, 
oc36,/about/infooc/news/press/1999,,200, OK, Indexable,,"Orange County,  California - 1999 ",2306, 75f95d8eccbeb3577c1da4a6809ac1c2,1.935,,, 
oc37,/about/infooc/news/pub,,200, OK, Indexable,,"Orange County,  California - Publications ",333, d14ee3b17dd63c98b1b286388d4c6b73,1.481,,, 
oc38,/about/infooc/news/press/2019,,200, OK, Indexable,,"Orange County,  California - 2019 ",1299, 8ac7a774447eba28209f49e863ac08c3,1.218,,, 
oc39,/about/infooc/news/press/2018,,200, OK, Indexable,,"Orange County,  California - 2018 ",2642, bd7589c978f7668887a0dc609de72fdd,1.198,,, 
oc40,/about/infooc/news/press/2011,,200, OK, Indexable,,"Orange County,  California - 2011 ",1184, 81e2dd3fd74f27ebc96c600d6895bd80,2.215,,, 
